BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3702,370223,3702,"Technic, Brick 1 x 8 with Holes",7,1,Blue,Solid Colors,1,2.85
3703,4211443,3703,"Technic, Brick 1 x 16 with Holes",86,71,Light Bluish Gray,Solid Colors,2,5.87
3703,370323,3703,"Technic, Brick 1 x 16 with Holes",7,1,Blue,Solid Colors,12,5.87
3706,370626,3706,"Technic, Axle  6L",11,0,Black,Solid Colors,2,0.94
3707,370726,3707,"Technic, Axle  8L",11,0,Black,Solid Colors,2,1.18
3708,370826,3708,"Technic, Axle 12L",11,0,Black,Solid Colors,2,1.83
3710,371023,3710,Plate 1 x 4,7,1,Blue,Solid Colors,3,0.71
3713,6275844,3713,Technic Bush,86,71,Light Bluish Gray,Solid Colors,14,0.14
3749,4666579,3749,"Technic, Axle  1L with Pin without Friction Ridges",2,19,Tan,Solid Colors,2,0.22
3795,379523,3795,Plate 2 x 6,7,1,Blue,Solid Colors,8,1.74
3894,389423,3894,"Technic, Brick 1 x 6 with Holes",7,1,Blue,Solid Colors,10,2.2
3895,389523,3895,"Technic, Brick 1 x 12 with Holes",7,1,Blue,Solid Colors,4,4.2
40490,4645730,40490,"Technic, Liftarm Thick 1 x 9",85,72,Dark Bluish Gray,Solid Colors,14,2.59
40490,4645732,40490,"Technic, Liftarm Thick 1 x 9",11,0,Black,Solid Colors,18,2.59
41239,4522934,41239,"Technic, Liftarm Thick 1 x 13",86,71,Light Bluish Gray,Solid Colors,4,3.3
4162,416223,4162,Tile 1 x 8,7,1,Blue,Solid Colors,6,1.06
4162,4211481,4162,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,3,1.06
4162,416201,4162,Tile 1 x 8,1,15,White,Solid Colors,2,1.06
41677,6348143,41677,"Technic, Liftarm Thin 1 x 2 - Axle Holes",86,71,Light Bluish Gray,Solid Colors,8,0.33
41677,6360123,41677,"Technic, Liftarm Thin 1 x 2 - Axle Holes",7,1,Blue,Solid Colors,2,0.33
41678,4234599,41678,"Technic, Axle and Pin Connector Perpendicular Double Split",85,72,Dark Bluish Gray,Solid Colors,6,0.83
4185,6321743,4185,Technic Wedge Belt Wheel (Pulley),86,71,Light Bluish Gray,Solid Colors,16,0.97
42003,6273715,42003,"Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes",85,72,Dark Bluish Gray,Solid Colors,5,0.77
4274,4211483,4274,"Technic, Pin 1/2 without Friction Ridges",86,71,Light Bluish Gray,Solid Colors,14,0.095
43093,4206482,43093,"Technic, Axle  1L with Pin with Friction Ridges",7,1,Blue,Solid Colors,24,0.26
43857,4185664,43857,"Technic, Liftarm Thick 1 x 2",5,4,Red,Solid Colors,2,0.4
44292,4211809,44292,Wheel 30.4mm D. x 20mm with 3 Pin Holes,86,71,Light Bluish Gray,Solid Colors,4,5.5
44294,4211805,44294,"Technic, Axle  7L",86,71,Light Bluish Gray,Solid Colors,2,1.05
55013,4499858,55013,"Technic, Axle  8L with Stop",85,72,Dark Bluish Gray,Solid Colors,5,1.18
58121c01,6073386,58121c01,"Electric, Motor 9V Power Functions XL with Dark Bluish Gray Bottom",86,71,Light Bluish Gray,Solid Colors,3,72.0
6538c,4512360,6538c,"Technic, Axle Connector 2L (Smooth with x Hole + Orientation)",86,71,Light Bluish Gray,Solid Colors,2,0.4
60483,6265089,60483,"Technic, Liftarm Thick 1 x 2 - Axle Hole",86,71,Light Bluish Gray,Solid Colors,2,0.46
60484,4552347,60484,"Technic, Liftarm, Modified T-Shape Thick 3 x 3",11,0,Black,Solid Colors,4,1.19
60485,6130010,60485,"Technic, Axle  9L",3,14,Yellow,Solid Colors,1,1.3
60485,4535768,60485,"Technic, Axle  9L",86,71,Light Bluish Gray,Solid Colors,1,1.3
62462,6173127,62462,"Technic, Pin Connector Round 2L with Slot (Pin Joiner Round)",86,71,Light Bluish Gray,Solid Colors,5,0.42
63869,6362991,63869,"Technic, Axle and Pin Connector Perpendicular Triple",11,0,Black,Solid Colors,2,1.05
6536,6261374,6536,"Technic, Axle and Pin Connector Perpendicular",85,72,Dark Bluish Gray,Solid Colors,2,0.39
6558,6299413,6558,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,41,0.31
6587,6587199,6587,"Technic, Axle  3L with Stud",85,72,Dark Bluish Gray,Solid Colors,4,0.48
6632,6364452,6632,"Technic, Liftarm Thin 1 x 3 - Axle Holes",85,72,Dark Bluish Gray,Solid Colors,2,0.45
6632,6331723,6632,"Technic, Liftarm Thin 1 x 3 - Axle Holes",11,0,Black,Solid Colors,2,0.45
6636,663601,6636,Tile 1 x 6,1,15,White,Solid Colors,1,0.83
6636,4211549,6636,Tile 1 x 6,86,71,Light Bluish Gray,Solid Colors,3,0.83
85943,6324639,85943,"Technic, Brick 1 x 2 with Hole and Dual Liftarm Extensions",85,72,Dark Bluish Gray,Solid Colors,4,1.34
87083,6083620,87083,"Technic, Axle  4L with Stop",85,72,Dark Bluish Gray,Solid Colors,2,0.59
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
730,1023.89,,,,,,,,
